State,Year,Primary_Fuel,Production_Amount
Victoria,2014-15,Naturally occurring LPG,1665.90
Victoria,2014-15,Natural gas a,11259.30
Victoria,2014-15,Ethane,158.80
Victoria,2014-15,Liquid/gas biofuels,6.60
Victoria,2014-15,Wood,1635.20
Victoria,2014-15,Bagasse,0.00
Victoria,2014-15,Hydro-electricity,2513.60
Victoria,2014-15,Wind b,3067.80
Victoria,2014-15,Solar PV,883.90
Victoria,2014-15,Solar hotwater,2.90
Victoria,2015-16,Black coal,0.00
Victoria,2015-16,Brown coal,60638.70
Victoria,2015-16,Crude oil and NGL,2417.80
Victoria,2015-16,Naturally occurring LPG,1740.60
Victoria,2015-16,Natural gas a,10982.60
Victoria,2015-16,Ethane,0.00
Victoria,2015-16,Liquid/gas biofuels,5.90
Victoria,2015-16,Wood,1601.50
Victoria,2015-16,Bagasse,8.40
Victoria,2015-16,Hydro-electricity,3228.50
Victoria,2015-16,Wind b,3341.80
Victoria,2015-16,Solar PV,1067.60
Victoria,2015-16,Solar hotwater,2.90
Victoria,2016-17,Black coal,0.00
Victoria,2016-17,Brown coal,56718.60
Victoria,2016-17,Crude oil and NGL,2322.10
Victoria,2016-17,Naturally occurring LPG,1729.60
Victoria,2016-17,Natural gas a,11446.60
Victoria,2016-17,Ethane,0.00
Victoria,2016-17,Liquid/gas biofuels,5.40
Victoria,2016-17,Wood,1631.30
Victoria,2016-17,Bagasse,8.10
Victoria,2016-17,Hydro-electricity,3673.30
Victoria,2016-17,Wind b,3560.90
Victoria,2016-17,Solar PV,1245.50
Victoria,2016-17,Solar hotwater,3.20
Victoria,2017-18,Black coal,0.00
Victoria,2017-18,Brown coal,45955.80
Victoria,2017-18,Crude oil and NGL,1962.70
Victoria,2017-18,Naturally occurring LPG,1567.10
Victoria,2017-18,Natural gas a,10663.10
Victoria,2017-18,Ethane,0.00
Victoria,2017-18,Liquid/gas biofuels,6.00
Victoria,2017-18,Wood,1566.90
Victoria,2017-18,Bagasse,8.70
Victoria,2017-18,Hydro-electricity,2803.10
Victoria,2017-18,Wind b,4303.90
Victoria,2017-18,Solar PV,1520.60
Victoria,2017-18,Solar hotwater,3.50
Victoria,2018-19,Black coal,0.00
Victoria,2018-19,Brown coal,43315.20
Victoria,2018-19,Crude oil and NGL,1663.80
Victoria,2018-19,Naturally occurring LPG,1472.70
Victoria,2018-19,Natural gas a,9844.20
Victoria,2018-19,Ethane,0.00
Victoria,2018-19,Liquid/gas biofuels,6.30
Victoria,2018-19,Wood,1606.70
Victoria,2018-19,Bagasse,8.70
Victoria,2018-19,Hydro-electricity,2702.80
Victoria,2018-19,Wind b,4863.70
Victoria,2018-19,Solar PV,2362.40
Victoria,2018-19,Solar hotwater,3.90
Victoria,2019-20,Black coal,0.00
Victoria,2019-20,Brown coal,41513.40
Victoria,2019-20,Crude oil and NGL,1494.40
Victoria,2019-20,Naturally occurring LPG,1521.00
Victoria,2019-20,Natural gas a,9238.20
Victoria,2019-20,Ethane,0.00
Victoria,2019-20,Liquid/gas biofuels,6.70
Victoria,2019-20,Wood,1602.70
Victoria,2019-20,Bagasse,8.60
Victoria,2019-20,Hydro-electricity,2310.80
Victoria,2019-20,Wind b,5596.20
Victoria,2019-20,Solar PV,3329.70
Victoria,2019-20,Solar hotwater,4.20
Victoria,2020-21,Black coal,0.00
Victoria,2020-21,Brown coal,41622.40
Victoria,2020-21,Crude oil and NGL,1177.90
Victoria,2020-21,Naturally occurring LPG,1428.90
Victoria,2020-21,Natural gas a,9569.30
Victoria,2020-21,Ethane,0.00
Victoria,2020-21,Liquid/gas biofuels,6.30
Victoria,2020-21,Wood,1589.90
Victoria,2020-21,Bagasse,8.40
Victoria,2020-21,Hydro-electricity,2852.00
Victoria,2020-21,Wind b,7080.60
Victoria,2020-21,Solar PV,4631.90
Victoria,2020-21,Solar hotwater,4.80
Victoria,2021-22,Black coal,0.00
Victoria,2021-22,Brown coal,40296.40
Victoria,2021-22,Crude oil and NGL,1119.10
Victoria,2021-22,Naturally occurring LPG,1546.80
Victoria,2021-22,Natural gas a,10991.00
Victoria,2021-22,Ethane,0.00
Victoria,2021-22,Liquid/gas biofuels,6.50
Victoria,2021-22,Wood,1675.50
Victoria,2021-22,Bagasse,8.70
Victoria,2021-22,Hydro-electricity,2787.90
Victoria,2021-22,Wind b,9563.60
Victoria,2021-22,Solar PV,5839.40
Victoria,2021-22,Solar hotwater,5.60
Victoria,2022-23,Black coal,0.00
Victoria,2022-23,Brown coal,38967.30
Victoria,2022-23,Crude oil and NGL,1062.30
Victoria,2022-23,Naturally occurring LPG,1357.60
Victoria,2022-23,Natural gas a,9516.60
Victoria,2022-23,Ethane,0.00
Victoria,2022-23,Liquid/gas biofuels,6.10
Victoria,2022-23,Wood,1500.90
Victoria,2022-23,Bagasse,8.60
Victoria,2022-23,Hydro-electricity,3237.20
Victoria,2022-23,Wind b,11065.50
Victoria,2022-23,Solar PV,6575.90
Victoria,2022-23,Solar hotwater,6.20
Queensland,2000-01,Black coal,138286.00
Queensland,2000-01,Brown coal,0.00
Queensland,2000-01,Crude oil and NGL,713.00
Queensland,2000-01,Naturally occurring LPG,22.00
Queensland,2000-01,Natural gas a,4770.00
Queensland,2000-01,Ethane,0.00
Queensland,2000-01,Liquid/gas biofuels,0.00
Queensland,2000-01,Wood,505.00
Queensland,2000-01,Bagasse,0.00
Queensland,2000-01,Hydro-electricity,868.00
Queensland,2000-01,Wind b,0.00
Queensland,2000-01,Solar PV,0.00
Queensland,2000-01,Solar hotwater,0.40
Queensland,2001-02,Black coal,148587.00
